id,organization_id,url,type,species,breeds_primary,breeds_secondary,breeds_mixed,breeds_unknown,colors_primary,colors_secondary,colors_tertiary,age,gender,size,coat,spayed_neutered,house_trained,declawed,special_needs,shots_current,environment_children,environment_dogs,environment_cats,tag1,tag2,tag3,tag4,tag5,name,description,photos_small,photos_medium,photos_large,photos_full,status,published_at,contact_email,contact_phone,contact_address1,contact_address2,contact_address_city,contact_address_state,contact_address_postcode,country,links
44527329,NC11,https://www.petfinder.com/dog/jesse-james-44527329/nc/morganton/friends-for-animals-humane-society-of-burke-county-nc11/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Beagle,Labrador Retriever,TRUE,FALSE,White / Cream,Yellow / Tan / Blond / Fawn,null,Young,Male,Medium,null,FALSE,FALSE,null,FALSE,FALSE,null,null,null,,,,,,Jesse James,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527329/1/?bust=1556048327&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527329/1/?bust=1556048327&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527329/1/?bust=1556048327&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527329/1/?bust=1556048327,adoptable,2019-04-23T19:38:57+0000,bcffa1@gmail.com,828-433-1115 ,PO Box 1884,Adoption Center at 417 Kirksey Drive,Morganton,NC,28655,US,/v2/animals/44527329
44527332,KY56,https://www.petfinder.com/dog/akira-44527332/ky/glasgow/barren-river-animal-welfare-association-ky56/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Pit Bull Terrier,null,TRUE,FALSE,Brindle,White / Cream,null,Baby,Female,Large,Short,TRUE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Akira,Akira was brought to the shelter by Animal Control on 4/15 and was never claimed. She is about 3 1/2...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527332/1/?bust=1556048256&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527332/1/?bust=1556048256&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527332/1/?bust=1556048256&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527332/1/?bust=1556048256,adoptable,2019-04-23T19:38:55+0000,syobymevol@scrtc.com,(270) 651-7297 ,175 Trojan Trail,P.O. Box 171,Glasgow,KY,42141,US,/v2/animals/44527332
44527290,PA697,https://www.petfinder.com/dog/tammy-puppy-44527290/pa/scranton/one-life-to-live-pet-rescue-and-adoption-inc-pa697/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,Boxer,TRUE,FALSE,Black,White / Cream,null,Baby,Female,Medium,Short,TRUE,FALSE,null,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,Tammy Puppy,Mama Tulip (pictured) was surrendered to a high kill shelter on Feb. 23rd along with her litter of five adorable...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527290/1/?bust=1556047779&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527290/1/?bust=1556047779&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527290/1/?bust=1556047779&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527290/1/?bust=1556047779,adoptable,2019-04-23T19:38:42+0000,OLTLrescue@gmail.com,570-341-1997   ,null,null,Scranton,PA,18510,US,/v2/animals/44527290
44527321,TN653,https://www.petfinder.com/dog/holly-44527321/ct/barkhamsted/friends-of-gibson-county-animals-tn653/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Shepherd,Labrador Retriever,TRUE,FALSE,White / Cream,Yellow / Tan / Blond / Fawn,null,Baby,Female,Medium,Medium,TRUE,FALSE,null,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,HOLLY,"Holly is such an adorable little girl and a total love bug to boot! She is super sweet, loveable and...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527321/1/?bust=1556048066&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527321/1/?bust=1556048066&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527321/1/?bust=1556048066&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527321/1/?bust=1556048066,adoptable,2019-04-23T19:38:21+0000,fogcarescue@gmail.com,null,null,null,Barkhamsted,CT,6063,US,/v2/animals/44527321
44527330,CA268,https://www.petfinder.com/dog/kristoff-44527330/ca/apple-valley/victor-valley-animal-protective-league-ca268/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Husky,null,TRUE,FALSE,null,null,null,Adult,Male,Medium,null,FALSE,FALSE,null,FALSE,FALSE,null,null,null,,,,,,KRISTOFF,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527330/2/?bust=1556048227&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527330/2/?bust=1556048227&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527330/2/?bust=1556048227&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527330/2/?bust=1556048227,adoptable,2019-04-23T19:37:25+0000,victorvalleyapl@yahoo.com,(760) 247-2102,21779 Zuni Road,null,Apple Valley,CA,92307,US,/v2/animals/44527330
44527323,MS51,https://www.petfinder.com/dog/pebbles-44527323/ms/nesbit/desoto-county-animal-shelter-ms51/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,null,TRUE,FALSE,Black,null,null,Adult,Female,Large,Medium,TRUE,FALSE,null,TRUE,TRUE,null,null,null,,,,,,Pebbles,"Pebbles is a 3-4 year old spayed female lab mix. She is very friendly, walks well on a leash, not...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527323/1/?bust=1556048043&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527323/1/?bust=1556048043&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527323/1/?bust=1556048043&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527323/1/?bust=1556048043,adoptable,2019-04-23T19:36:47+0000,msparks@desotocountyms.gov,662-469-8004,1251 Humane Way,null,Nesbit,MS,38651,US,/v2/animals/44527323
44527308,CA271,https://www.petfinder.com/dog/periwinkle-44527308/ca/oakland/hopalong-animal-rescue-ca271/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Pomeranian,null,FALSE,FALSE,Apricot / Beige,null,null,Young,Male,Small,Long,TRUE,TRUE,null,FALSE,TRUE,TRUE,TRUE,TRUE,Playful,Friendly,Social,Cuddly,Chill,Periwinkle,"Periwinkle is an adorable, friendly, playful and uber-fluffy 2 year old, 10lb, male Pomeranian looking for his forever home. He...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527308/1/?bust=1556047971&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527308/1/?bust=1556047971&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527308/1/?bust=1556047971&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527308/1/?bust=1556047971,adoptable,2019-04-23T19:36:02+0000,info@hopalong.org,(510) 267-1915,PO Box 27507,null,Oakland,CA,94602,US,/v2/animals/44527308
44527316,MS134,https://www.petfinder.com/dog/bre-44527316/ms/west-point/west-point-clay-county-animal-shelter-ms134/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Dachshund,null,TRUE,FALSE,Black,White / Cream,null,Adult,Female,Medium,Short,FALSE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Bre,Bre weighs 36 pounds.,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527316/1/?bust=1556048046&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527316/1/?bust=1556048046&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527316/1/?bust=1556048046&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527316/1/?bust=1556048046,adoptable,2019-04-23T19:35:17+0000,wpccanimalshelter@gmail.com,662-524-4430,5122 Old Tibbee Road,null,West Point,MS,39773,US,/v2/animals/44527316
44527311,CA2042,https://www.petfinder.com/dog/gigi-44527311/ca/palm-desert/loving-all-animals-inc-ca2042/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Lhasa Apso,null,TRUE,FALSE,White / Cream,null,null,Young,Female,Small,Long,TRUE,TRUE,null,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,GIGI,GIGI is beautiful. She looks like a movie dog. She has white fur with dark on the tips of her...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527311/1/?bust=1556047968&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527311/1/?bust=1556047968&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527311/1/?bust=1556047968&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527311/1/?bust=1556047968,adoptable,2019-04-23T19:35:16+0000,petasks@lovingallanimals.org,(760) 834-7000,44635 San Rafael,null,Palm Desert,CA,92260,US,/v2/animals/44527311
44527318,PA218,https://www.petfinder.com/dog/evangeline-44527318/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Terrier,null,TRUE,FALSE,Brown / Chocolate,null,null,Young,Female,Large,Short,TRUE,FALSE,null,FALSE,TRUE,TRUE,TRUE,null,,,,,,Evangeline,"Well, hello there. My name is Evangeline and I light up the sky with my shine. I'ma beautiful, unique looking...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527318/1/?bust=1556048013&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527318/1/?bust=1556048013&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527318/1/?bust=1556048013&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527318/1/?bust=1556048013,adoptable,2019-04-23T19:34:44+0000,clearfieldcountyspca@gmail.com,(814) 765-2220,275 21st Street,null,Clearfield,PA,16830,US,/v2/animals/44527318
